epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.207,1.76159,3.04299,1.55076,0.11377,0.18486,0.07933,0.03989,2.0914,inf,2.38407,0.08138,0.00098,0.00098
2,59.4764,1.57299,2.17769,1.4213,0.18065,0.29272,0.11462,0.05873,1.77408,4.23787,1.55129,0.0623668,0.00196681,0.00196681
3,89.0207,1.53653,1.99254,1.38199,0.19343,0.49169,0.22363,0.10786,1.61244,2.48503,1.54577,0.0433403,0.00294031,0.00294031
4,117.25,1.50251,1.86232,1.38087,0.23383,0.52664,0.30055,0.17555,1.42716,2.56394,1.51474,0.0243005,0.00390048,0.00390048
5,149.875,1.51004,1.81444,1.41036,0.3615,0.53019,0.42424,0.22823,1.49779,2.78377,1.46078,0.00524733,0.00484733,0.00484733
6,180.967,1.51547,1.72963,1.38938,0.39998,0.70042,0.50246,0.25729,1.47684,1.63142,1.43355,0.0048335,0.0048335,0.0048335
7,217.437,1.46849,1.68168,1.3534,0.40679,0.73247,0.50501,0.2839,1.39446,1.58037,1.41075,0.0048002,0.0048002,0.0048002
8,254.858,1.45475,1.64866,1.35572,0.33249,0.63416,0.37001,0.18703,1.49889,1.95862,1.40825,0.0047669,0.0047669,0.0047669
9,285.151,1.44284,1.60069,1.34573,0.3986,0.79404,0.45629,0.25076,1.4186,1.46352,1.42306,0.0047336,0.0047336,0.0047336
10,313.723,1.43527,1.56164,1.33577,0.36064,0.68587,0.39972,0.19509,1.59793,1.67648,1.51218,0.0047003,0.0047003,0.0047003
11,344.555,1.39308,1.53943,1.30626,0.41045,0.80043,0.46763,0.27008,1.3768,1.45523,1.39218,0.004667,0.004667,0.004667
12,370.865,1.38642,1.5159,1.3124,0.44641,0.82009,0.52368,0.30116,1.36082,1.33897,1.38918,0.0046337,0.0046337,0.0046337
